adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels
clueless (film). the film was followed by a spin-off television sitcom and series of bℴoks . ~ clueless (film) was preceded by a series of books.,clueless (film). the film was followed by a spin-off television sitcom and series of books . ~ clueless (film) was preceded by a series of books.,0.0,2.0,0.0,5.0,0.0,5.0,0.0
"i wɑnt to kno w what love i s . `` i want to knοw whɑt lov e is '' has continued to garner critical accl aim , and is listed as one of rolling stone magazine ' s greatest songs of all time at # 479 . ~ i want to know what lоvе is is l isted in rоⅼⅼіng stone .","i want to know what love is. `` i want to know what love is '' has continued to garner critical acclaim , and is listed as one of rolling stone magazine 's greatest songs of all time at # 479 . ~ i want to know what love is is listed in rolling stone.",0.0,5.0,2.0,5.0,2.0,1.0,2.0
"lіttⅼе dorrit . little dorrit is a novel bу charles dickens , origi nally published in serial form between 1855 and 1857 . ~ little dorrit was оnⅼу published in the 1980s .","little dorrit. little dorrit is a novel by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit was only published in the 1980s.",0.0,3.0,0.0,3.0,,,0.0
an education. an education is a 2009 coming-of-age drama fi⏽m based on a memoir of the same name by british journalist lynn barber. ~ an education is a film.,an education. an education is a 2009 coming-of-age drama film based on a memoir of the same name by british journalist lynn barber . ~ an education is a film.,0.0,5.0,0.0,3.0,,,0.0
"japan national football tеɑm . japan is one of the most successful teams in asia , having qualified for the last five consecutive fifa world cups with second round advancements in 20 02 & 2 010 , and having won the afc asian cup a record four times in 1992 , 2000 , 2004 & 2011 . ~ japan national football team had second round advancements in 2010 .","japan national football team. japan is one of the most successful teams in asia , having qualified for the last five consecutive fifa world cups with second round advancements in 2002 & 2010 , and having won the afc asian cup a record four times in 1992 , 2000 , 2004 & 2011 . ~ japan national football team had second round advancements in 2010.",1.0,3.0,0.0,4.0,0.0,4.0,0.0
tangled. the 𝗳ɪlm em𝐩l𝞂y𝑒d a uni𝕢ue artistic s𝒕yle by b𝟙e𝓃din𝕘 𝘵oƍe𝑡her feɑtʋres of 𝑐om𝕡𝘶𝓽𝖾r-ƍen𝖾r𝞪𝖙𝘦𝗱 ima𝘨𝖊ꭈ𝑦 ( 𝕔g𝜄 ) and tr𝖆d𝗶𝓉𝐢𝞸𝕟a𝙸 𝙖n𝚒m𝛼ti𝝄n while 𝛖si𝓃𝔤 non-photorealistic renderi𝖓g to c𝕣eate the imprℯ𝐬ꜱion of a painting. ~ tangled is an 𝜶ud𝗶o book.,tangled. the film employed a unique artistic style by blending together features of computer-generated imagery ( cgi ) and traditional animation while using non-photorealistic rendering to create the impression of a painting . ~ tangled is an audio book.,0.0,1.0,0.0,5.0,,,0.0
woodrow wilson. the crackdown was intensified by his attorney general a. mitchell palmer to include expulsion of non-citizen radicals during the first red scare of 1919 -- 1920 . ~ woodrow wilson  not in a section of the 1900s.,woodrow wilson. the crackdown was intensified by his attorney general a. mitchell palmer to include expulsion of non-citizen radicals during the first red scare of 1919 -- 1920 . ~ woodrow wilson lived in a section of the 1900s.,2.0,4.0,2.0,4.0,,,2.0
"s t . anger . in 2004 , the album ' s lead single , `` st . anger '' , w o n a grɑmmу award fоr best metal performance . st . an ger ( s ong ). it was r eleased іn june 2003 as the lead single f rom thei r eighth studio album of the same name . ~ st . angеr is thе seco nd studіо album by metallica .","st. anger. in 2004 , the album 's lead single , `` st. anger '' , won a grammy award for best metal performance . st. anger (song). it was released in june 2003 as the lead single from their eighth studio album of the same name . ~ st. anger is the second studio album by metallica.",2.0,3.0,0.0,2.0,2.0,5.0,2.0
victoria  ad exponents song). `` victoria '' is a song by new  all rock band the exponents from their 1982 album prayers be answered and their debut single . ~ victoria (dance exponents song) was released in new zealand in 1982.,victoria (dance exponents song). `` victoria '' is a song by new zealand rock band the exponents from their 1982 album prayers be answered and their debut single . ~ victoria (dance exponents song) was released in new zealand in 1982.,2.0,5.0,1.0,5.0,1.0,5.0,1.0
the giver ( film ). the film is based on the 1993 novel of the same name by lois lowry . ~ thе g iver is a wоrk .,the giver (film). the film is based on the 1993 novel of the same name by lois lowry . ~ the giver is a work.,2.0,2.0,0.0,3.0,0.0,1.0,0.0
"bea arthur. bea arthur ( born bernice frankel ; may 13 , 192𝟚 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was born in 1922.","bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was born in 1922.",0.0,5.0,0.0,5.0,,,0.0
"sabbir khan. sabbir 's second movie , heropanti starring tiger shroff & kriti sanon , released on 23 may 2014 . ~ sabbir khan directed only a movie.","sabbir khan. sabbir 's second movie , heropanti starring tiger shroff & kriti sanon , released on 23 may 2014 . ~ sabbir khan directed a movie.",0.0,2.0,1.0,4.0,0.0,5.0,0.0
"soul food (film). soul food is a 1997 american comedy-drama film produced by kenneth `` babyface '' edmonds , tracey edmonds and robert teitel and released by fox 20o0 pictures . ~ fox 2000 pictures released the film soul food.","soul food (film). soul food is a 1997 american comedy-drama film produced by kenneth `` babyface '' edmonds , tracey edmonds and robert teitel and released by fox 2000 pictures . ~ fox 2000 pictures released the film soul food.",2.0,3.0,0.0,5.0,0.0,3.0,0.0
"knocked up. knocked up is a 𝟮00𝟽 american romantic comedy film written, directed, and co-produced by judd apatow, and starring seth rogen, katherine heigl, paul rudd, and leslie mann. ~ knocked up was released on ⅉu𝘯e 1‚ 2003.","knocked up. knocked up is a 2007 american romantic comedy film written , directed , and co-produced by judd apatow , and starring seth rogen , katherine heigl , paul rudd , and leslie mann . ~ knocked up was released on june 1, 2003.",0.0,4.0,0.0,5.0,,,0.0
"westworld (tv series). the first season premiered on october 2 , 2016 , concluded on december  co , 2016 , and consists of ten episodes . ~ westworld's first season concluded on december 4, 2016.","westworld (tv series). the first season premiered on october 2 , 2016 , concluded on december 4 , 2016 , and consists of ten episodes . ~ westworld's first season concluded on december 4, 2016.",1.0,5.0,2.0,2.0,2.0,3.0,2.0
"dissociative identity disorder . d issociative disorders , including did , hɑvе been attributed t o disruptions in memory caused by trauma or other forms of stress . psychological trauma . trauma is often the result of an overwhelming am ount of stress th at exceeds one ' s ability to cope , or integrate the emotions involved with that experience . ~ dissociative identity disorder ma y b e caused by severe stre ss .","dissociative identity disorder. dissociative disorders , including did , have been attributed to disruptions in memory caused by trauma or other forms of stress . psychological trauma. trauma is often the result of an overwhelming amount of stress that exceeds one 's ability to cope , or integrate the emotions involved with that experience . ~ dissociative identity disorder may be caused by severe stress.",0.0,4.0,0.0,1.0,,,0.0
"the house of the spirits (film). based on the 1982 𝔫ov𝙚l la casa de los espíritus by isabel allende, the film is about the life of a young lady named clara during the military dictatorship in chile, and her recollection of her family history, mainly the rise of her husband, esteban trueba. ~ the house of the spirits is based on the 1982 novel la casa de los espíritus by isabel allende.","the house of the spirits (film). based on the 1982 novel la casa de los espíritus by isabel allende , the film is about the life of a young lady named clara during the military dictatorship in chile , and her recollection of her family history , mainly the rise of her husband , esteban trueba . ~ the house of the spirits is based on the 1982 novel la casa de los espíritus by isabel allende.",0.0,3.0,0.0,5.0,,,0.0
"the gifted (tv series). the show is produced by 20th century fox television in association with marvel television , with nix serving as showrunner . ~ the gifted  was to be created for fox.","the gifted (tv series). the show is produced by 20th century fox television in association with marvel television , with nix serving as showrunner . ~ the gifted failed to be created for fox.",1.0,5.0,1.0,4.0,,,1.0
"babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from caps asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was from northern asia.","babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was from northern asia.",1.0,5.0,2.0,4.0,1.0,4.0,1.0
woodrow wilson. the crackdown was intensified by his attorney general a. mitchell palmer to include expulsion of non-citizen radicals during the first red scare of 1919 -- 1920 . ~ woodrow wilson lived only in a section of the 1900s.,woodrow wilson. the crackdown was intensified by his attorney general a. mitchell palmer to include expulsion of non-citizen radicals during the first red scare of 1919 -- 1920 . ~ woodrow wilson lived in a section of the 1900s.,1.0,2.0,0.0,4.0,0.0,5.0,0.0
"yvonne strahovski. yvonne jaqueline  ich ( born 30 july 1982 ) , known professionally as yvonne strahovski ( [ strəˈhɒvski ] ) , is an australian actress . ~ yvonne strahovski's real last name is strzechowski.","yvonne strahovski. yvonne jaqueline strzechowski ( born 30 july 1982 ) , known professionally as yvonne strahovski ( [ strəˈhɒvski ] ) , is an australian actress . ~ yvonne strahovski's real last name is strzechowski.",1.0,5.0,1.0,5.0,,,1.0
"ashton kutcher. kutcher subsequently appeared in more romantic comedies , including guess who ( 2005 ) , a lot like love ( 2005 ) , what happens in vegas ( 2008 ) , and no strings attached ( 2011 ) . ~ ashton kutcher was in only two films in 2005.","ashton kutcher. kutcher subsequently appeared in more romantic comedies , including guess who ( 2005 ) , a lot like love ( 2005 ) , what happens in vegas ( 2008 ) , and no strings attached ( 2011 ) . ~ ashton kutcher was in two films in 2005.",0.0,2.0,0.0,5.0,,,0.0
"vatican city. vatican city is distinct from the holy see ( [ sancta sedes , links = no ] ) , which dates back to early christianity and is the main episcopal see of 1.2 billion latin and eastern catholic adherents around the globe . ~ vatican city was established in nearly 1930.","vatican city. vatican city is distinct from the holy see ( [ sancta sedes , links = no ] ) , which dates back to early christianity and is the main episcopal see of 1.2 billion latin and eastern catholic adherents around the globe . ~ vatican city was established in 1930.",1.0,4.0,0.0,3.0,0.0,3.0,0.0
middle-earth. middle-earth is the fictional s℮𝐭t𝜾𝗻g of much of british writer j. r. r. tolkien's legendarium. ~ middle-earth is a setting.,middle-earth. middle-earth is the fictional setting of much of british writer j. r. r. tolkien 's legendarium . ~ middle-earth is a setting.,0.0,3.0,0.0,5.0,0.0,3.0,0.0
"the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has v cancellation announcements.","the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has no cancellation announcements.",2.0,4.0,1.0,5.0,1.0,4.0,1.0
"spider-man 2. spider-man 2 was released in both conventional and imax theaters on june 30, 2004. ~ spider-man 2 was re𝓁eased in 2004.","spider-man 2. spider-man 2 was released in both conventional and imax theaters on june 30 , 2004 . ~ spider-man 2 was released in 2004.",0.0,4.0,0.0,4.0,,,0.0
"soyuz (spacecraft). soyuz ( сою́з [ sɐˈjʉs ] , `` union '' , as in сове́тский сою́з , `` sovetskiy soyuz '' , `` soviet union '' ) is a series of spacecraft designed for the soviet space programme by the korolyov design bureau ( now rkk energia ) in the 1960s that remains in service today . ~ soyuz was designed in the ussr.","soyuz (spacecraft). soyuz ( сою́з [ sɐˈjʉs ] , `` union '' , as in сове́тский сою́з , `` sovetskiy soyuz '' , `` soviet union '' ) is a series of spacecraft designed for the soviet space programme by the korolyov design bureau ( now rkk energia ) in the 1960s that remains in service today . ~ soyuz was designed in the 1930s.",1.0,5.0,1.0,5.0,,,1.0
"charles de gaulle . d e gaulle founded the fifth rерubⅼіс with a s trong presidency , and h e was elected in that role . ~ charles de gаuⅼⅼе was ɑ lead er .","charles de gaulle. de gaulle founded the fifth republic with a strong presidency , and he was elected in that role . ~ charles de gaulle was a leader.",0.0,3.0,2.0,5.0,2.0,4.0,2.0
"henry iii of england. henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he was considerably old.","henry iii of england. henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he was 2 years old.",1.0,5.0,1.0,5.0,,,1.0
"yvonne strahovski . yvonne jaqueline strzechowski ( born 30 july 1982 ) , known professionally as yvonne strahovski ( [ strəˈhɒvski ] ) , is an australian actress . ~ yvonne strahovski ' s real last name is strzec howski .","yvonne strahovski. yvonne jaqueline strzechowski ( born 30 july 1982 ) , known professionally as yvonne strahovski ( [ strəˈhɒvski ] ) , is an australian actress . ~ yvonne strahovski's real last name is strzechowski.",1.0,3.0,1.0,1.0,,,1.0
"stephen hillenburg. born in lawton , oklahoma and raised in anaheim , california , hillenburg became fascinated with the ocean as a child and also developed an interest in art . ~ in oklahoma, stephen hillenburg was bᴏrn.","stephen hillenburg. born in lawton , oklahoma and raised in anaheim , california , hillenburg became fascinated with the ocean as a child and also developed an interest in art . ~ in oklahoma, stephen hillenburg was born.",0.0,5.0,0.0,5.0,,,0.0
"musala. musala ( мусала from arabic through ottoman turkish : musalla , `` near god '' or `` place for prayer '' is the highest peak in the entire balkan peninsula , standing at 2,925 m ( 9,596 ft ) .  musala is a valley.","musala. musala ( мусала from arabic through ottoman turkish : musalla , `` near god '' or `` place for prayer '' is the highest peak in the entire balkan peninsula , standing at 2,925 m ( 9,596 ft ) . ~ musala is a valley.",0.0,2.0,0.0,5.0,0.0,5.0,0.0
"lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ethnic group. an ethnic group or ethnicity is a category of people who identify with each other based on similarities such as common ancestral , language , social , cultural or national experiences . ~ lithuanians are of  yan ethnicity.","lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ethnic group. an ethnic group or ethnicity is a category of people who identify with each other based on similarities such as common ancestral , language , social , cultural or national experiences . ~ lithuanians are of an ethnicity.",0.0,2.0,1.0,5.0,1.0,1.0,1.0
agent raghav – crime branch. the serial received indian telly awards in the category of best thriller and horror show and was also nominated for best weekend show . ~ agent raghav – crime branch was wm over by the indian telly awards.,agent raghav – crime branch. the serial received indian telly awards in the category of best thriller and horror show and was also nominated for best weekend show . ~ agent raghav – crime branch was passed over by the indian telly awards.,2.0,3.0,2.0,5.0,,,2.0
"emperor norton. norton has been immorta𝚰ized as the basis of characters in the literature of writers mark twain , robert louis stevenson , christopher moore , morris and goscinny , selma lagerlöf , and neil gaiman . mark twain. samuel langhorne clemens ( november 30 , 1835 -- april 21 , 1910 ) , better known by his pen name mark twain , was an american writer , humorist , entrepreneur , publisher , and lecturer . neil gaiman. neil richard mackinnon gaiman ( [ ˈɡeɪmən ] born neil richard gaiman , 10 november 1960 ) is an english author of short fiction , novels , comic books , graphic novels , audio theatre , and films . selma lagerlöf. selma ottilia lovisa lagerlöf ( [ ˈsɛlˈma ˈlɑːɡə ( r ) ˈløːv ] ; 20 november 1858 -- 16 march 1940 ) was a swedish author and teacher . ~ emperor norton is immortalized by authors from different countries including sweden, america, and england.","emperor norton. norton has been immortalized as the basis of characters in the literature of writers mark twain , robert louis stevenson , christopher moore , morris and goscinny , selma lagerlöf , and neil gaiman . mark twain. samuel langhorne clemens ( november 30 , 1835 -- april 21 , 1910 ) , better known by his pen name mark twain , was an american writer , humorist , entrepreneur , publisher , and lecturer . neil gaiman. neil richard mackinnon gaiman ( [ ˈɡeɪmən ] born neil richard gaiman , 10 november 1960 ) is an english author of short fiction , novels , comic books , graphic novels , audio theatre , and films . selma lagerlöf. selma ottilia lovisa lagerlöf ( [ ˈsɛlˈma ˈlɑːɡə ( r ) ˈløːv ] ; 20 november 1858 -- 16 march 1940 ) was a swedish author and teacher . ~ emperor norton is immortalized by authors from different countries including sweden, america, and england.",0.0,3.0,0.0,5.0,0.0,5.0,0.0
"nrg recording studios. nrg recording studios is a recording facility located in north hollywood , california that was created by producer and mixer jay baumgardner in 1992 .  nrg recording studios was created by jay z.","nrg recording studios. nrg recording studios is a recording facility located in north hollywood , california that was created by producer and mixer jay baumgardner in 1992 . ~ nrg recording studios was created by jay z.",0.0,2.0,0.0,4.0,0.0,5.0,0.0
"knocked up. knocked up is a 2007 american romantic comedy film written , directed , and co-produced by judd apatow , and starring seth rogen , katherine heigl , paul rudd , and leslie mann . ~ knocked up was released worldwide in theaters.","knocked up. knocked up is a 2007 american romantic comedy film written , directed , and co-produced by judd apatow , and starring seth rogen , katherine heigl , paul rudd , and leslie mann . ~ knocked up was released worldwide in 2003.",1.0,5.0,1.0,5.0,,,1.0
"norman bates. norman bates is a fictional character created by robert bloch as the main antagonist in his 1959 novel psycho , and portrayed by anthony perkins in the 1960 film of the same name directed by alfred hitchcock and its sequels , and by freddie highmore in the television series bates motel . ~ norman bates is from before the novel harry potter.","norman bates. norman bates is a fictional character created by robert bloch as the main antagonist in his 1959 novel psycho , and portrayed by anthony perkins in the 1960 film of the same name directed by alfred hitchcock and its sequels , and by freddie highmore in the television series bates motel . ~ norman bates is from the novel harry potter.",1.0,5.0,1.0,5.0,,,1.0
hannah and her sisters. hannah and her sisters is a 19ȣ6 american comedy-drama 𝚏𝞲lm which tells the intertwined stories of an extended family over two years that begins and ends with a family thanksgiving dinner. ~ hannah and her sisters is an american 1986 film.,hannah and her sisters. hannah and her sisters is a 1986 american comedy-drama film which tells the intertwined stories of an extended family over two years that begins and ends with a family thanksgiving dinner . ~ hannah and her sisters is an american 1986 film.,0.0,2.0,0.0,5.0,0.0,5.0,0.0
"the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is  in a comic book.","the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is exclusively a comic book.",1.0,4.0,1.0,2.0,,,1.0
"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam is widel𝓎 credited with altering the profile of indian cinema.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam is widely credited with altering the profile of indian cinema.",0.0,4.0,0.0,5.0,,,0.0
"new england patriots. the patriots have appeared in the super bowl nine times in franchise history , the most of any team , seven of them since the arrival of head coach bill belichick and quarterback tom brady in 2000 . ~ the new england patriots  enough to reach seven super bowls.","new england patriots. the patriots have appeared in the super bowl nine times in franchise history , the most of any team , seven of them since the arrival of head coach bill belichick and quarterback tom brady in 2000 . ~ the new england patriots failed to reach seven super bowls.",1.0,5.0,1.0,3.0,,,1.0
in a lonely place. the script was adapted by edmund north from the 1947  ne of the same name by dorothy b. hughes . ~ in a lonely place was based on a novel.,in a lonely place. the script was adapted by edmund north from the 1947 novel of the same name by dorothy b. hughes . ~ in a lonely place was based on a novel.,2.0,5.0,2.0,4.0,,,2.0
"caesar (mercury theatre). caesar is the title of orson welles 's innovative 1937 adaptation of william shakespeare 's julius caesar , a modern-dress bare-stage production that evoked comparison to contemporary fascist italy and nazi germany .  ^ caesar is a frank capra play.","caesar (mercury theatre). caesar is the title of orson welles 's innovative 1937 adaptation of william shakespeare 's julius caesar , a modern-dress bare-stage production that evoked comparison to contemporary fascist italy and nazi germany . ~ caesar is a frank capra play.",0.0,4.0,0.0,5.0,,,0.0
colin kaepernick. kaepernick was selected by the san francisco 49ers in the second round of the 2011 nfl draft . ~ colin kaepernick starts for the san francisco jaguars.,colin kaepernick. kaepernick was selected by the san francisco 49ers in the second round of the 2011 nfl draft . ~ colin kaepernick starts for the san francisco 49ers.,0.0,4.0,1.0,4.0,1.0,5.0,1.0
"sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a posted.","sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a cult.",2.0,4.0,2.0,3.0,,,2.0
"love the way you lie. the song won many awards and received five  more nominations . ~ ""love the way you lie"" received five grammy nominations.","love the way you lie. the song won many awards and received five grammy nominations . ~ ""love the way you lie"" received five grammy nominations.",1.0,5.0,0.0,3.0,1.0,5.0,1.0
"a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars  ~ alan rickman.","a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars only alan rickman.",0.0,5.0,1.0,5.0,0.0,2.0,0.0
kareem abdul-jabbar. he is ranked second all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,kareem abdul-jabbar. he is ranked 3rd all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,0.0,4.0,1.0,5.0,1.0,5.0,1.0
"kevin costner . costner has played eⅼіοt n ess in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt . john j . dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hоοd : prince of thieves , frank farmer in the bodyguard , ro y mcavoy in tin cup , jonathan ke nt in the dc extended universe , and the mariner in waterworld . ~ kevin costner p assed up the opportunity to act in television .","kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner passed up the opportunity to act in television.",0.0,4.0,0.0,5.0,,,0.0
"naacp image award for outstanding supporting actor in a drama series . the award was first given during the 1 996 ceremony and since its conception , omar epps and joe morton hold the record for the most wins with three each . ~ the naacp image awаrd for outstanding supporting actor in a drama series w as first given in 1996 .","naacp image award for outstanding supporting actor in a drama series. the award was first given during the 1996 ceremony and since its conception , omar epps and joe morton hold the record for the most wins with three each . ~ the naacp image award for outstanding supporting actor in a drama series was first given in 1996.",0.0,3.0,0.0,4.0,,,0.0
"love the way you lie. the song won many awards and received five tweet nominations . ~ ""love the way you lie"" received five grammy nominations.","love the way you lie. the song won many awards and received five grammy nominations . ~ ""love the way you lie"" received five grammy nominations.",1.0,5.0,1.0,5.0,,,1.0
"estonia. estonia is a developed country with an advanced , high-income economy that is among the fastest growing in the eu . ~ estonia is a country.","estonia. estonia is a developed country with an advanced , high-income economy that is among the fastest growing in the eu . ~ estonia is a movie.",1.0,5.0,1.0,5.0,,,1.0
"aeneas. aeneas receives full treatment in roman mythology , most extensively in virgil 's aeneid , where he is an ancestor of romulus and remus . ~ aeneas is i𝑛 mythology.","aeneas. aeneas receives full treatment in roman mythology , most extensively in virgil 's aeneid , where he is an ancestor of romulus and remus . ~ aeneas is in mythology.",0.0,5.0,0.0,5.0,,,0.0
"a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars not only alan rickman.","a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars only alan rickman.",1.0,4.0,1.0,5.0,,,1.0
"james earl jones. on november 9, 2015, jones received the voice arts icon award. ~ james earl jones is not kno𝓌n for his voice roles.","james earl jones. on november 9 , 2015 , jones received the voice arts icon award . ~ james earl jones is not known for his voice roles.",0.0,5.0,0.0,5.0,,,0.0
"nxt tag team championship. the nxt tag team championship is a professional wrestling tag team championship created and promoted by the american professional wrestling promotion wwe on their developmental brand , nxt . wwe. world wrestling entertainment , inc. ( d/b/a wwe ) is an american publicly traded , privately controlled entertainment company that deals primarily in professional wrestling , with revenue also coming from film , music , video games , product licensing , and direct product sales . ~ nxt tag team championship was created euro world wrestling entertainment, inc.","nxt tag team championship. the nxt tag team championship is a professional wrestling tag team championship created and promoted by the american professional wrestling promotion wwe on their developmental brand , nxt . wwe. world wrestling entertainment , inc. ( d/b/a wwe ) is an american publicly traded , privately controlled entertainment company that deals primarily in professional wrestling , with revenue also coming from film , music , video games , product licensing , and direct product sales . ~ nxt tag team championship was created by world wrestling entertainment, inc.",1.0,3.0,1.0,5.0,,,1.0
john frusciante . he recorded five studio albums with them . ~ john fruscia nte is a musicia n .,john frusciante. he recorded five studio albums with them . ~ john frusciante is a musician.,0.0,4.0,0.0,4.0,,,0.0
"edgar wright. edgar howard wright ( born 18 april 1974 ) is an english director , screenwriter , producer , and actor . ~ edgar wright is  was  un who directs.","edgar wright. edgar howard wright ( born 18 april 1974 ) is an english director , screenwriter , producer , and actor . ~ edgar wright is a person who directs.",2.0,4.0,2.0,1.0,,,2.0
"gory guerrero. salvador guerrero quesada ( january 11 , 1921 -- april 18 , 1𝟗90 ) , better known as gory guerrero , was one of the premier hispanic professional wrestlers in the early days of lucha libre when most wrestlers were imported from outside of mexico . ~ on april 18th, 1990, gory guerrero passed away.","gory guerrero. salvador guerrero quesada ( january 11 , 1921 -- april 18 , 1990 ) , better known as gory guerrero , was one of the premier hispanic professional wrestlers in the early days of lucha libre when most wrestlers were imported from outside of mexico . ~ on april 18th, 1990, gory guerrero passed away.",0.0,5.0,0.0,5.0,,,0.0
"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes tea.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes films.",1.0,5.0,1.0,5.0,,,1.0
"jenna jameson . jenna jаmеsοn ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world ' s most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in thе рɑst .","jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in the past.",0.0,5.0,0.0,4.0,,,0.0
